iter	Passed	Remaining
0	3	387
1	9	449
2	14	459
3	17	425
4	22	418
5	24	389
6	31	416
7	34	397
8	36	368
9	38	342
10	40	329
11	42	311
12	43	293
13	45	279
14	46	265
15	48	253
16	50	244
17	52	240
18	54	233
19	56	225
20	57	217
21	59	210
22	60	203
23	63	200
24	65	197
25	67	191
26	68	185
27	69	179
28	71	175
29	73	171
30	75	168
31	78	165
32	79	161
33	81	157
34	82	153
35	84	149
36	87	148
37	89	146
38	91	143
39	92	139
40	94	135
41	95	131
42	97	128
43	99	126
44	101	124
45	103	121
46	104	117
47	106	114
48	107	112
49	110	110
50	112	108
51	114	105
52	115	102
53	117	99
54	118	96
55	120	94
56	122	92
57	124	90
58	126	87
59	127	85
60	129	82
61	130	79
62	132	78
63	135	76
64	137	73
65	138	71
66	140	69
67	141	66
68	142	64
69	145	62
70	147	60
71	149	58
72	151	55
73	152	53
74	153	51
75	155	49
76	158	47
77	160	45
78	162	43
79	163	40
80	165	38
81	166	36
82	168	34
83	170	32
84	173	30
85	175	28
86	177	26
87	178	24
88	180	22
89	183	20
90	186	18
91	187	16
92	189	14
93	190	12
94	192	10
95	194	8
96	196	6
97	198	4
98	199	2
99	200	0
