iter	Passed	Remaining
0	141	141830
1	144	71867
2	145	48456
3	147	36723
4	149	29746
5	151	25137
6	153	21793
7	155	19284
8	157	17349
9	159	15796
10	161	14531
11	163	13479
12	168	12766
13	169	11971
14	171	11284
15	185	11380
16	186	10809
17	189	10350
18	191	9907
19	193	9485
20	195	9109
21	199	8878
22	201	8571
23	205	8375
24	209	8159
25	212	7966
26	214	7729
27	216	7506
28	223	7497
29	226	7314
30	228	7148
31	231	7005
32	241	7070
33	243	6910
34	245	6758
35	247	6633
36	254	6616
37	256	6493
38	258	6372
39	260	6251
40	262	6141
41	269	6156
42	271	6050
43	273	5944
44	275	5844
45	277	5752
46	282	5734
47	286	5684
48	288	5600
49	290	5524
50	292	5449
51	298	5447
52	300	5376
53	308	5397
54	314	5407
55	316	5337
56	319	5284
57	321	5214
58	322	5150
59	332	5205
60	333	5140
61	335	5078
62	337	5018
63	339	4970
64	343	4941
65	346	4901
66	350	4875
67	352	4830
68	354	4781
69	380	5053
70	382	5003
71	384	4953
72	386	4904
73	390	4887
74	394	4865
75	396	4817
76	398	4781
77	400	4735
78	410	4785
79	412	4747
80	414	4707
81	417	4671
82	418	4619
83	422	4607
84	424	4572
85	428	4556
86	430	4517
87	432	4484
88	437	4480
89	441	4464
90	444	4436
91	446	4409
92	449	4384
93	454	4385
94	456	4351
95	458	4318
96	461	4291
97	462	4258
98	465	4233
99	469	4228
100	474	4224
101	477	4200
102	479	4171
103	481	4147
104	496	4234
105	506	4268
106	509	4248
107	510	4218
108	512	4190
109	514	4166
110	518	4154
111	520	4127
112	522	4099
113	523	4072
114	525	4046
115	531	4054
116	534	4036
117	536	4012
118	538	3989
119	541	3972
120	547	3973
121	549	3954
122	551	3932
123	553	3911
124	555	3889
125	557	3867
126	563	3870
127	565	3850
128	567	3829
129	568	3807
130	570	3786
131	572	3765
132	578	3772
133	585	3784
134	588	3768
135	589	3747
136	591	3728
137	594	3710
138	596	3692
139	597	3673
140	608	3706
141	609	3684
142	612	3669
143	614	3650
144	616	3638
145	620	3627
146	623	3615
147	631	3637
148	636	3632
149	638	3615
150	640	3600
151	642	3582
152	644	3565
153	645	3547
154	647	3530
155	653	3533
156	655	3518
157	656	3500
158	658	3482
159	664	3487
160	668	3482
161	671	3473
162	673	3457
163	675	3442
164	677	3427
165	682	3431
166	684	3415
167	686	3400
168	688	3385
169	690	3370
170	692	3356
171	696	3353
172	701	3353
173	704	3343
174	711	3353
175	714	3346
176	717	3333
177	718	3319
178	720	3304
179	722	3290
180	726	3287
181	729	3278
182	731	3263
183	732	3250
184	734	3236
185	736	3222
186	737	3207
187	752	3252
188	754	3238
189	759	3237
190	762	3229
191	764	3216
192	767	3211
193	769	3198
194	775	3201
195	777	3190
196	779	3178
197	781	3165
198	783	3152
199	784	3139
200	788	3134
201	800	3161
202	802	3149
203	809	3159
204	811	3148
205	814	3138
206	816	3126
207	818	3115
208	820	3103
209	821	3091
210	823	3079
211	825	3068
212	827	3056
213	831	3055
214	836	3054
215	840	3052
216	843	3042
217	848	3042
218	851	3035
219	853	3024
220	856	3019
221	858	3008
222	861	3002
223	864	2996
224	866	2985
225	868	2975
226	870	2964
227	872	2952
228	874	2945
229	880	2947
230	882	2936
231	884	2926
232	886	2919
233	892	2920
234	895	2916
235	897	2906
236	899	2897
237	901	2886
238	907	2888
239	910	2882
240	912	2874
241	914	2864
242	916	2853
243	922	2859
244	925	2850
245	926	2841
246	928	2831
247	930	2822
248	943	2844
249	945	2836
250	947	2826
251	954	2834
252	958	2828
253	960	2819
254	961	2810
255	963	2801
256	969	2803
257	971	2795
258	973	2785
259	975	2776
